price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type,price_crore
45000000,ready to move,3400,13235,4 bhk independent floor in today developer 6,dlf phase 2,akhilesh sharma,FALSE,4,today developer 6,today,floor,0.045
26800000,under construction,2000,13400,3 bhk apartment in trehan luxury floors 71,sector 71,sevenrealtys,TRUE,3,trehan luxury floors 71,trehan,apartment,0.0268
37600000,under construction,1795,21000,3 bhk apartment in m3m m3m crown,sector 111,accurate realty venture private limited,TRUE,3,m3m m3m crown,m3m,apartment,0.0376
28000000,under construction,1902,14750,3 bhk apartment in m3m golf hills phase 1,sector 79,today associates,TRUE,3,m3m golf hills phase 1,m3m,apartment,0.028
48000000,ready to move,2802,17130,3 bhk apartment in experion windchants,sector 112,chirag khatri,FALSE,3,experion w,experion,apartment,0.048
12000000,ready to move,1322,9077,2 bhk apartment in umang winter hills,sector 77,khushi housing solutions pvt ltd,FALSE,2,umang w,umang,apartment,0.012
14500000,ready to move,1490,9731,2 bhk apartment in godrej 101,sector 79,true blue advisers,FALSE,2,godrej 101,godrej,apartment,0.0145
41000000,ready to move,2185,18764,3 bhk apartment,sector 72,rising realtors,FALSE,3,outside socity,outside,plot,0.041
14900000,ready to move,1822,8177,3 bhk apartment in umang winter hills,sector 77,get home fix,FALSE,3,umang w,umang,apartment,0.0149
22500000,under construction,1829,12301,3 bhk apartment in godrej air,sector 85,arihant dream homes,TRUE,3,godrej air,godrej,apartment,0.0225
45000000,ready to move,3762,11961,4 bhk independent floor in raheja sushant lok 1 floors,sector 43,neer me consultant,FALSE,4,raheja sushant lok 1 floors,raheja,floor,0.045
29000000,under construction,1855,15633,3 bhk apartment in godrej meridien,sector 106,sansiddhi homes,TRUE,3,godrej meridien,godrej,apartment,0.029
28000000,ready to move,2162,12950,4 bhk apartment in shapoorji pallonji joyville phase 1,sector 102,gateway realty,FALSE,4,shapoorji pallonji joyville phase 1,shapoorji,apartment,0.028
